Notes,Filename,Identifier,Title#1,Artist/Creator#1,Subject#1,Subject#1$1,Subject#1$3,Subject#1$2,Subject#1$5,Subject#1$4,Subject#1$7,Subject#1$6,Written Text,Card Text,Date#1,Format#1,Source#1,Language#1,Relation#1,Coverage#1,Coverage#2,Recipient
D1,shan_d.123,1,Will of Jesusita Flemate Barros Tores,,,,,,,,,,,,1957-05-04,Document,"Elizabeth Jane and Steve Shanahan of Davey, NE",es,,,,
D1,shan_d.124,1,,,,,,,,,,,,,,,,,,,,
D2,shan_d.489,2,Official letter,Immigration and Naturalization Service,,,,,,,,,,,1952-07-22,Letter,"Elizabeth Jane and Steve Shanahan of Davey, NE",en,,"Denver, Colorado","Fort Lupton, Colorado",
D2,shan_d.490,2,,,,,,,,,,,,,,,,,,,,
D3,shan_d.185,3,Postcard,"Salas, Pablita ","Baros Torres, Jesusita",,,,,,,,"From Pablita Solas 489 Vine st Coachella California

Jesusita BT mi muy querida 
comadre unas cuantas Lineas 
para aserle Saber que a qui Estoy 
En calif com mi hijo llegue 
con vien y Ellos Estan Buenos 
yo me siento mejor por lo que 
Doy Gracias a Dios yo llegue
a qui El Domingo a las 6:15 
de la mañana pero les escribo 
para aserle Saber de mi siempre
yo no las olbido pidan a la virgin 
que me vaya vien para volber y sin 
mas Dios los bendiga su comadre 
como siempre Pablita

Mrs Jesusita B Torres 
Pacific st Box
Fort Lupton Colo
","Navajo Rug Weaver-Navajo rugs are worked on 
in the Navajo Hogans in winter and outside under a 
tree in the summer. Wool is sheared from the sheep, 
sorted and washed, carded to make fibers line in one 
direction and worked into a cord which is then dyed
to color and then used for weaving. These rugs are 
made completely of wool and are famed for their 
beauty and durability. –L524",1962-09-26,Postcard,"Elizabeth Jane and Steve Shanahan of Davey, NE",es,,"Coachella, California","Fort Lupton, Colorado",
D3,shan_d.186,3,,,,,,,,,,,,,,,,,,,,
D4,shan_d.001,4,The Jeffersonian Tablet,Jesusita Baros,,,,,,,,,,Personal notes for citizenship test.,1953-10-01,Notebook,"Elizabeth Jane and Steve Shanahan of Davey, NE",es,,,,
D4,shan_d.002,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.003,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.004,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.005,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.006,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.007,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.008,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.009,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.010,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.011,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.012,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.013,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.014,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.015,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.016,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.017,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.018,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.019,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.020,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.021,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.022,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.023,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.024,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.025,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.026,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.027,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.028,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.029,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.030,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.031,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.032,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.033,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.034,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.035,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.036,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.037,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.038,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.039,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.040,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.041,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.042,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.043,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.044,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.045,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.046,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.047,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.048,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.049,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.050,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.051,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.052,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.053,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.054,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.055,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.056,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.057,4,,,,,,,,,,,,,,,,,,,,
D4,shan_d.058,4,,,,,,,,,,,,,,,,,,,,
D5,shan_d.059,5,Citizenship study guide,Jesusita Baros,,,,,,,,,,,1905-04-24,Booklet,"Elizabeth Jane and Steve Shanahan of Davey, NE",en,,,,
D5,shan_d.060,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.061,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.062,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.063,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.064,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.065,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.066,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.067,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.068,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.069,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.070,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.071,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.072,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.073,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.074,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.075,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.076,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.077,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.078,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.079,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.080,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.081,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.082,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.083,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.084,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.085,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.086,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.087,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.088,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.089,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.090,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.091,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.092,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.093,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.094,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.095,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.096,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.097,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.098,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.099,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.100,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.101,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.102,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.103,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.104,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.105,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.106,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.107,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.108,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.109,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.110,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.111,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.112,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.113,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.114,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.115,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.116,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.117,5,,,,,,,,,,,,,,,,,,,,
D5,shan_d.118,5,,,,,,,,,,,,,,,,,,,,
D6,shan_d.121,6,Draft for citizenship document,Jesusita Flemate Baros,,,,,,,,,,Handwritten ,Unknown,Document,"Elizabeth Jane and Steve Shanahan of Davey, NE",en,,,,
D6,shan_d.122,6,,,,,,,,,,,,,,,,,,,,
D7,shan_d.125,7,Timeline for citizenship application,Jesusita Baros,,,,,,,,,,Typewritten ,1952 (circa),Document,"Elizabeth Jane and Steve Shanahan of Davey, NE",en,,,,
D7,shan_d.126,7,,,,,,,,,,,,,,,,,,,,
D8,shan_d.127,8,Memorial card,,,,,,,,,,,"In Memoriam Born July 15, 1900 Died: Feb 10, 1976. On the front image of Jesus with crown of thorns.                              
",1976 (circa),Card,"Elizabeth Jane and Steve Shanahan of Davey, NE",en,,,,
D8,shan_d.128,8,,,"Baros Torres, Jesusita ",,,,,,,,,"IN MEMORIAM 
JESUSITA F. TORRES 
Born: July 15, 1900 
Died: Feb. 10, 1976 
O gentlest heart of Jesus, ever present in the Blessed Sacrament ever consumed with burning love for the poor captive souls, have mercy on the soul of Thy departed servant. Be not severe in Thy judgment but let some drops of Thy Precious Blood fall upon the devouring flames, and do Thou O Merciful Saviour, send Thy Angels to conduct Thy departed servant to a place of refreshment, light and peace. Amen. 
May he souls of all the faithful departed, through the Mercy of God, rest in peace. Amen. 
Merciful Jesus grant eternal 
rest. 
Rice Funeral Chapel 
Brighton, Colorado ",,,,,,,,
D9,shan_d.129,9,Memorial card,,,,,,,,,,,"
In Memory",1976-02-14,Card,"Elizabeth Jane and Steve Shanahan of Davey, NE",,,,,
D9,shan_d.130,9,,,,,,,,,,,,"The TWENTY-THIRD PSALM

THE LORD IS MY SHEPERD; I SHALL NOT WANT. 
HE MAKE ME TO LIE DOWN IN GREEN PASTURES: 
HE LEADETH ME BESIDES THE STILL WATERS.  
HE RESTORETH MY SOUL: HE LEADETH ME IN THE 
PATHS OF RIGHTEOUSNESS FOR HIS NAME’S SAKE..
YEA, THOUGH I WALK THROUGH THE VALLEY OF 
THE SHADOW OF DEATH, I WILL FEAR NO EVIL: 
FOR THOU ART WITH ME; THY ROD AND THEY STAFF 
THEY COMFORT ME. THOU PREPAREST A TABLE 
BEFORE ME IN THE PRESENCE OF MINE ENEMIES: 
THOU ANOINTEST MY HEAD WITH OIL; MY CUP 
RUNNETH OVER..SURELY GOODNESS AND 
MERCY SHALL FOLLOW ME ALL THE DAYS 
OF MY LIFE: AND I WILL DWELL IN THE 
HOUSE OF THE LORD FOR EVER…..",,,,,,,,
D9,shan_d.131,9,,,"Baros Torres, Jesusita","Gann, Joseph M.","Baros, Jerry ","Rangel, Victor ","Lujan, Roy ","Perez, Raymond ","Montoya, Salomone ","Nolasco, Benny ",,,,,,,,,,
D9,shan_d.132,9,,,,,,,,,,,,,,,,,,,,
D10,shan_d.133,10,Christmas card and envelope,,"Schubert, Linda Pamela ",,,,,,,,"Estado Zacatecas, Huchipila, Mexico
con mucho cariño
para mi nieta Linda Pamela 
Schubert",,Unknown,Card,"Elizabeth Jane and Steve Shanahan of Davey, NE",es,,,,
D10,shan_d.134,10,,,,,,,,,,,,"Silent Night
The First Noel",,,,,,,,
D10,shan_d.135,10,,,,,,,,,,,,,,,,,,,,
D10,shan_d.136,10,,,,"Schubert, Linda Pamela ","Torres, Maximino",,,,,,"Con mucho cariño 
Linda Pamela 
de mr y Mrs 
max Torres","“And thou shalt have joy and gladness 
and many shall rejoice at this birth.” 
–LUKE 1:14

Wishing you all the 
joys of Christmas 
and Happy New Year",,,,,,,,
D10,shan_d.137,10,,,,,,,,,,,,,,,,,,,,
D11,shan_d.138,11,Work permit,,,,,,,,,,,,Unknown,Document,"Elizabeth Jane and Steve Shanahan of Davey, NE",en,,,,
D11,shan_d.139,11,,,,,,,,,,,,,,,,,,,,
D12,shan_d.140,12,Christmas card and envelope,"Baca, Betty ","Baca, B.","Rodriguez, Jesusita ",,,,,,,"Miss B. Baca
2302 Campbell Rd.
Albuquerque, N. M. 

Mrs. Jesusita Rodriguez
Box 681 
Ft. Lupton, Colorado","ALBUQUERQUE 
N. MEX
DEC 16
12 M
1949",1949-12-16,Card,"Elizabeth Jane and Steve Shanahan of Davey, NE",en,,,,
D12,shan_d.141,12,,,,,,,,,,,,,,,,,,,,
D12,shan_d.142,12,,,,,,,,,,,,HOLIDAY GREETINGS,,,,,,,,
D12,shan_d.143,12,,,,,,,,,,,,"B oundless joy and ringing good cheer-
E ach of these am wishing you here.
T hreading throughtout the glad New Year.
T ranquility, peace and calm content
Y ou have my best wishes in this Yule sentiment

B leanding mirth with all the rest
A ll these are a part of this bequest.
C onsider the letters beginning each line
A and see who is sending this Christmas-time rhyme!
",,,,,,,,
D13,shan_d.144,13,"Homeowners insurance policy
",,,,,,,,,,,,1944-12-29,Document,"Elizabeth Jane and Steve Shanahan of Davey, NE",en,,,,
D13,shan_d.145,13,,,,,,,,,,,,,,,,,,,,
D13,shan_d.146,13,,,,,,,,,,,,,,,,,,,,
D13,shan_d.147,13,,,,,,,,,,,,,,,,,,,,
D13,shan_d.148,13,,,,,,,,,,,,,,,,,,,,
D13,shan_d.149,13,,,,,,,,,,,,,,,,,,,,
D13,shan_d.150,13,,,,,,,,,,,,,,,,,,,,
D13,shan_d.151,13,,,,,,,,,,,,,,,,,,,,
D13,shan_d.152,13,,,,,,,,,,,,,,,,,,,,
D13,shan_d.153,13,,,,,,,,,,,,,,,,,,,,
D13,shan_d.154,13,,,,,,,,,,,,,,,,,,,,
D14,shan_d.165,14,Postcard,,,,,,,,,,,"15820. Immaculate Conception Cathedral, Denver, Colorado",1942-09-25,Postcard,"Elizabeth Jane and Steve Shanahan of Davey, NE",en,,,,
D14,shan_d.166,14,,"Baros Schubert, Santos","Baros Torres, Jesusita",Ela,Jess,,,,,,"Sept. 25, 1942

Dearest Mother, 
Don’t expect me 
Sun. cause I’m 
going to the dance 
Sun. nite with 
Ela. She’s leave-
ing mon. If Jess 
comes to the dance 
then I can go 
home with him. 
I’ll go mon. for sure 
Love, Santos

Mrs. J. Baros
P.O. Box 481 
Ft Lupton, Colorado","IMMACULATE CONCEPTION CATHEDRAL
The Catholic Cathedral is 195 feet long by 116 
feet wide, crucifiction in plan, the nave and tran-
sept being 40 feet in width, the two aisles 14 
feet each.  The style is French Gothic. There 
are two spires built of stone, rising to a height 
of 210 feet.  The entire cost of the building was 
more than $500,000.",,,,,,,,
D15,shan_d.119,15,Real state assesment,,,,,,,,,,,,1959-05-28,Document,"Elizabeth Jane and Steve Shanahan of Davey, NE",en,,,,
D15,shan_d.120,15,,,,,,,,,,,,,,,,,,,,
D16,shan_d.167,16,Receipt for appliance,,,,,,,,,,,,1954-06-23,Receipt,"Elizabeth Jane and Steve Shanahan of Davey, NE",en,,,,
D16,shan_d.168,16,,,,,,,,,,,,,,,,,,,,
D17,shan_d.169,17,Official letter to certify acquaintance,,,,,,,,,,,,1952-08-30,Document,"Elizabeth Jane and Steve Shanahan of Davey, NE",en,,,,
D17,shan_d.170,17,,,,,,,,,,,,,,,,,,,,
D18,shan_d.159,18,Affidavit,,,,,,,,,,,,1952-08-21,Document,"Elizabeth Jane and Steve Shanahan of Davey, NE",en,,,,
D18,shan_d.160,18,,,,,,,,,,,,,,,,,,,,
D19,shan_d.171,19,Letter to Longfellow School Principal,,,,,,,,,,,,1953-02-16,Document,"Elizabeth Jane and Steve Shanahan of Davey, NE",en,,,,
D19,shan_d.172,19,,,,,,,,,,,,,,,,,,,,
D20,shan_d.173,20,Letter to US Consul,,,,,,,,,,,,1948-03-05,Document,"Elizabeth Jane and Steve Shanahan of Davey, NE",en,,,,
D20,shan_d.174,20,,,,,,,,,,,,,,,,,,,,
D21,shan_d.175,21,Application to legalize residence status,,,,,,,,,,,,1952-07-03,Document,"Elizabeth Jane and Steve Shanahan of Davey, NE",en,,,,
D21,shan_d.176,21,,,,,,,,,,,,,,,,,,,,
D22,shan_d.177,22,Offical response to request application to legalize residence status,,,,,,,,,,,,1952-07-31,Document,"Elizabeth Jane and Steve Shanahan of Davey, NE",en,,,,
D22,shan_d.178,22,,,,,,,,,,,,,,,,,,,,
D23,shan_d.163,23,Application and instructions for registry of an alien,,,,,,,,,,,,Unknown,Document,"Elizabeth Jane and Steve Shanahan of Davey, NE",en,,,,
D23,shan_d.164,23,,,,,,,,,,,,,,,,,,,,
D23,shan_d.179,23,,,,,,,,,,,,,,,,,,,,
D23,shan_d.180,23,,,,,,,,,,,,,,,,,,,,
D24,shan_d.181,24,Response to request of proof of former employment,,,,,,,,,,,,1952-09-17,Document,"Elizabeth Jane and Steve Shanahan of Davey, NE",en,,,,
D24,shan_d.182,24,,,,,,,,,,,,,,,,,,,,
D25,shan_d.183,25,Response to request of proof of former employment,,,,,,,,,,,,1962-03-24,Document,"Elizabeth Jane and Steve Shanahan of Davey, NE",en,,,,
D25,shan_d.184,25,,,,,,,,,,,,,,,,,,,,
D26,shan_d.161,26,Smallpox Vaccination Certificate,,,,,,,,,,,,1965-02-21,Document,"Elizabeth Jane and Steve Shanahan of Davey, NE",en,,,,
D26,shan_d.162,26,,,,,,,,,,,,,,,,,,,,
D27,shan_d.157,27,"Proof of enrollement in Civilian Defense Auxiliary Group, Railroads ",,,,,,,,,,,Enrollment number SL5119,Unknown,Document,"Elizabeth Jane and Steve Shanahan of Davey, NE",en,,,,
D27,shan_d.158,27,,,,,,,,,,,,,,,,,,,,
D28,shan_d.155,28,Fragment of bank draft,,,,,,,,,,,,Unknown,Receipt,"Elizabeth Jane and Steve Shanahan of Davey, NE",en,,,,
D28,shan_d.156,28,,,,,,,,,,,,,,,,,,,,
D29,shan_d.187,29,Birthday card,,,,,,,,,,,"A Belated
Birthday Wish",Unknown,Card,"Elizabeth Jane and Steve Shanahan of Davey, NE",es,,,,
D29,shan_d.188,29,,,,,,,,,,,,"“The Lord bless thee, 
And keep thee.”
Numbers 6:24",,,,,,,,
D29,shan_d.189,29,,"Baros Torres, Jesusita",,,,,,,,,"Querida hija con el mas fino 
recuerdo y cariño 
de tu mama; J.B.T. 
dias de estos 
te deseo muchos","This brings sincere apologies 
Because it’s coming late;
But all Life’s best
Is wished for you
No matter what the date!",,,,,,,,
D 29,shan_d.190,29,,,,,,,,,,,,,,,,,,,,
D30,shan_d.191,30,Easter card,,,,,,,,,,,"Easter Greeting 
TO MY
HUSBAND",Unknown,Card,"Elizabeth Jane and Steve Shanahan of Davey, NE",en,,,,
D30,shan_d.192,30,,,"Schubert, William F.",,,,,,,,one and only Bill,"WITH LOVE
and
BEST WISHES",,,,,,,,
D30,shan_d.193,30,,"Baros Schubert, Santos","Schubert, William F.",,,,,,,,"Dearest Bill,

Loads of Love,
Sandra
1951","A little greeting to tell you, dear, 
That Easter Day will be
More joyous just because you’ll share 
Its happiness with me;

And dear, no Easter wish can hold 
Affection that more true 
Than this fond wish I’m sending 
With all my love to you!",,,,,,,,
D30,shan_d.194,30,,,,,,,,,,,,,,,,,,,,
D31,shan_d.195,31,Easter card,, Schubert,,,,,,,,"Mr and Mrs Schubert
Ballo Trailer Club
Highway 66 Brainard Ave,
La grange Illinois

P.O. Box 681
f.t. Lupton, Colo","FORT LUPTON
COLO.
APR 3 
4 PM
1953",Unknown,Card,"Elizabeth Jane and Steve Shanahan of Davey, NE",en,,,,
D31,shan_d.196,31,,,,,,,,,,,,,,,,,,,,
D31,shan_d.197,31,,,,,,,,,,,,"AN EASTER WISH FOR YOU, 
Daughter",,,,,,,,
D31,shan_d.198,31,,,,,,,,,,,,"The happiness 
Of Easter time-
Joy in all you do-
That’s the loving wish 
This brings
Especially for you!",,,,,,,,
D31,shan_d.199,31,,,,,,,,,,,,,,,,,,,,
D32,shan_d.200,32,Birthday card,,"Schubert, William F. ",,,,,,,,"Mrs. William F. Schubert
2738 Pear St
Lincoln,
Nebraska","DENVER 
COLO.
OCT 26
12:30 PM
1950",1950-10-26,Card,"Elizabeth Jane and Steve Shanahan of Davey, NE",en,,,,
D32,shan_d.201,32,,,,,,,,,,,,,,,,,,,,
D32,shan_d.202,32,,,,,,,,,,,,"A Gift for Your 
Happiness",,,,,,,,
D32,shan_d.203,32,,,,,,,,,,,,,,,,,,,,
D32,shan_d.204,32,,Hollie,,,,,,,,,"Love
Aunt
Hollie","A Gift for Your 
Happiness

A gift that brings 
A wish your way
For happiness
That grows each day!",,,,,,,,
D32,shan_d.205,32,,,,,,,,,,,,,,,,,,,,
D33,shan_d.206,33,Birthday card,,,,,,,,,,,Birthday Joys,Unknown,Card,"Elizabeth Jane and Steve Shanahan of Davey, NE",en,,,,
D33,shan_d.207,33,,,,,,,,,,,,,,,,,,,,
D33,shan_d.208,33,,Laura M.,"Baros Schubert, Santos",Nelle,,,,,,,"Written-
Dear Sandra,

Love, 
Laura M.
+
Aunt Nelle","Because I often think of you,
I hope from day to day
That you are finding happiness
Along life’s busy way; 
And so, this joyful Birthday wish
Is sent to let you know
I think of you more often than 
The times I tell you so!",,,,,,,,
D33,shan_d.209,33,,,,,,,,,,,,,,,,,,,,
D34,shan_d.210,34,Birthday card,,,,,,,,,,,"Happy Birthday, 
DAUGHTER",Unknown,Card,"Elizabeth Jane and Steve Shanahan of Davey, NE",en,,,,
D34,shan_d.211,34,,,,,,,,,,,to mamá,"So thoughtful and so lovale
So sweet in all you do,
No one could bring 
more happiness
Or deserve it more than you.",,,,,,,,
D34,shan_d.212,34,,,,,,,,,,,,,,,,,,,,
D35,shan_d.213,35,Christmas card,,"Baros Schubert, Santos",,,,,,,,"Miss Santos Baros
P.O. Box 481
Ft. Lupton, Colo
","BUY
DEFENSE SAVINGS
BONDS AND STAMPS
WASHINGTON, D.C
DEC 22
7-PM
1941",1941-12-22,Card,"Elizabeth Jane and Steve Shanahan of Davey, NE",en,,,,
D35,shan_d.214,35,,,,,,,,,,,,,,,,,,,,
D35,shan_d.215,35,,,,,,,,,,,,TO GREET You,,,,,,,,
D35,shan_d.216,35,,,,,,,,,,,,"A gay “CHERRI O!”
And a “HOWDY!” too",,,,,,,,
 ,shan_d.217,35,,"Baca, Lenore",,,,,,,,,Lenore Baca,"For a Happy Christmas 
And a New Year to YOU!",,,,,,,,
D35,shan_d.218,35,,,,,,,,,,,,,,,,,,,,
D36,shan_d.219,36,Birthday card,,"Baros Schubert, Santos",,,,,,,,"Mrs. Sandra Schubert
P.O. Box 18
Havelock
Nebraska.","FORT LUPTON 
COLO.
OCT 29 
5 PM
1948",1948-10-29,Card,"Elizabeth Jane and Steve Shanahan of Davey, NE",en,,,,
D36,shan_d.220,36,,"Baros, Jess Jesus",,,,,,,,,"Jess Baros
Sen Del
Ft Lupton
Colo.",,,,,,,,,
D36,shan_d.221,36,,,,,,,,,,,,"BIRTHDAY GREETINGS
Now the guys 
what drawed these pitchers
Belongs in padded cells--
An’ whoever
wrote this verse up--
Confidentially, 
it smells!",,,,,,,,
D36,shan_d.222,36,,Jess,Helen,,,,,,,,Jess + Helen,"This card ain’t such
a masterpiece
As starts art lovers droolin’--
But this wish is sure 
the real McCoy
An’ golly--
I AIN’T FOOLIN’!",,,,,,,,
D36,shan_d.223,36,,,,,,,,,,,,"Happy 
Birthday 
AND 
MANY MORE 
OF ‘EM!",,,,,,,,
D36,shan_d.224,36,,,,,,,,,,,,,,,,,,,,
D37,shan_d.225,37,Easter card,,"Baros Schubert, Santos",,,,,,,,"Mrs. Sandra Schubert
2738 Pear St
Lincoln Nebr.","FORT LUPTON 
COLO.
MAR 26
5 PM
1948",1948-03-26,Card,"Elizabeth Jane and Steve Shanahan of Davey, NE",en,,,,
D37,shan_d.226,37,,,,,,,,,,,,,,,,,,,,
D37,shan_d.227,37,,,,,,,,,,,,For a Blessed Easter,,,,,,,,
D37,shan_d.228,37,,,,,,,,,,,,,,,,,,,,
D37,shan_d.229,37,,"Baros Torres, Jesusita",,,,,,,,,"From to mamá
J. Baros
","May He smile upon you
At this Easter time;
May He swiftly bring you
Blessings so sublime;
May He guard and guide you
And His Light be shed
Through a lovely Easter
And through days ahead.",,,,,,,,
D37,shan_d.230,37,,,,,,,,,,,,,,,,,,,,
D38,shan_d.231,38,Birthday card,"Baros Torres, Jesusita","Baros Schubert, Santos",,,,,,,,"J. Baros G. Delibery
f.t. Lupton Colo

Mrs. Santos Schubert
P.O. Box 18
Havelock.
Nebra","FORT LUPTON
COLO.
OCT 29
5 PM
1948",1948-10-29,Card,"Elizabeth Jane and Steve Shanahan of Davey, NE",en,,,,
D38,shan_d.232,38,,,,,,,,,,,,,,,,,,,,
